,full_name,selling_price,year,km_driven,fuel_type,transmission_type,mileage,engine
0,Hyundai Grand i10,5.5,2016,20000,Petrol,Manual,18.9,1197
1,Ford Ecosport 2015-2021,5.7,2015,30000,Diesel,Manual,22.77,1498
2,Maruti Wagon R,3.5,2013,35000,Petrol,Manual,18.9,998
3,Hyundai i10 Sportz,3.15,2013,40000,Petrol,Manual,20.36,1197
4,Maruti Wagon R,4.1,2018,17512,Petrol,Manual,20.51,998
5,Maruti Swift VXI,5.11,2017,28321,Petrol,Manual,16.6,1197
6,Hyundai Verna 1.6,4.25,2013,65278,Diesel,Manual,22.32,1582
7,Maruti Baleno Zeta,6.0,2015,20000,Petrol,Manual,21.4,1197
8,Maruti Swift Dzire,5.75,2016,40000,Petrol,Manual,20.85,1197
9,Volkswagen Vento 1.6,4.25,2013,47000,Petrol,Manual,16.09,1598
10,Honda City i,7.5,2015,50000,Petrol,Manual,17.4,1497
11,Mahindra Bolero SLE,3.5,2011,25000,Diesel,Manual,13.6,2523
12,Honda City 2017-2020,1.45,2007,77253,Petrol,Manual,17.7,1497
13,Renault KWID Climber,3.4,2017,30000,Petrol,Manual,23.01,999
14,Honda Amaze S,4.65,2016,39993,Petrol,Manual,18.6,1199
15,Mahindra XUV500 W8,6.0,2012,185000,Diesel,Manual,15.1,2179
16,Hyundai i20 1.2,5.98,2018,40000,Petrol,Manual,18.6,1197
17,Honda City i,7.0,2015,31180,Petrol,Automatic,18.0,1497
18,Maruti Baleno Zeta,5.9,2016,52427,Petrol,Automatic,21.4,1197
19,Mahindra Bolero B6,8.5,2020,40000,Diesel,Manual,21.0,1498
20,Mahindra KUV100 NXT,5.5,2018,17000,Petrol,Manual,18.15,1198
21,Maruti Baleno Vxi,6.25,2016,22000,Petrol,Manual,15.4,1590
22,Maruti Swift Dzire,6.0,2016,54000,Petrol,Manual,20.85,1197
23,Maruti Wagon R,4.45,2019,10000,Petrol,Manual,20.51,998
24,Maruti Ignis 1.2,5.3,2019,20000,Petrol,Manual,20.89,1197
25,Maruti Wagon R,4.1,2018,53237,CNG,Manual,26.6,998
26,Datsun RediGO Gold,3.5,2018,27263,Petrol,Manual,22.5,999
27,Hyundai Verna 1.6,5.2,2014,110000,Diesel,Manual,22.32,1582
28,Hyundai i20 Asta,7.5,2016,70000,Diesel,Manual,22.54,1396
29,Hyundai i20 1.2,6.55,2019,39000,Petrol,Manual,18.6,1197
30,Hyundai i20 1.2,5.5,2018,34000,Petrol,Manual,18.6,1197
31,Mahindra Marazzo M2,9.9,2019,36000,Diesel,Manual,17.3,1497
32,Hyundai Verna SX,5.51,2013,47876,Diesel,Manual,25.0,1493
33,Ford Aspire 1.2,5.0,2017,58000,Petrol,Manual,18.16,1196
34,Maruti Swift Dzire,5.75,2018,30000,Petrol,Manual,21.21,1197
35,Ford Figo 1.2P,5.25,2017,19093,Petrol,Manual,18.16,1196
36,Honda Amaze E,4.0,2014,50000,Petrol,Manual,18.0,1198
37,Maruti Wagon R,1.55,2006,37000,Petrol,Manual,14.0,1061
38,Honda City V,5.45,2013,70000,Petrol,Manual,16.8,1497
39,Renault KWID RXL,2.4,2016,25000,Petrol,Manual,25.17,799
40,Ford Aspire 1.2,4.8,2017,30000,Petrol,Manual,18.16,1196
41,Hyundai i20 Magna,3.75,2013,15000,Petrol,Manual,18.5,1197
42,Tata Tiago 1.2,4.0,2017,32100,Petrol,Manual,23.84,1199
43,Hyundai i20 Magna,5.5,2016,22000,Petrol,Manual,18.5,1197
44,Volkswagen Polo 1.2,4.5,2016,78000,Petrol,Manual,18.78,1198
45,Mercedes-Benz C-Class C,7.75,2012,74352,Petrol,Automatic,11.74,1796
46,Maruti Wagon R,3.5,2014,37000,Petrol,Manual,20.51,998
47,Honda City i,5.5,2014,69000,Diesel,Manual,25.1,1498
48,Maruti Alto 800,2.3,2013,55000,Petrol,Manual,22.74,796
49,Hyundai i20 1.4,2.7,2011,160000,Diesel,Manual,21.9,1396
50,Ford Figo Petrol,1.3,2011,40000,Petrol,Manual,15.6,1196
51,Maruti Swift Dzire,3.7,2012,46000,Petrol,Manual,19.1,1197
52,Maruti Baleno Delta,5.7,2017,25000,Petrol,Manual,21.4,1197
53,Hyundai i20 2015-2017,5.9,2016,11000,Petrol,Manual,18.6,1197
54,Maruti Celerio VXI,4.75,2018,5000,Petrol,Automatic,23.1,998
55,Ford Ecosport 2015-2021,6.85,2017,55000,Diesel,Manual,23.0,1498
56,Renault KWID 1.0,3.3,2018,22000,Petrol,Manual,23.01,999
57,Maruti Baleno Delta,6.5,2018,7671,Petrol,Manual,21.01,1197
58,Maruti Wagon R,3.25,2016,66000,Petrol,Manual,20.51,998
59,Maruti Swift Dzire,6.4,2018,45156,Petrol,Automatic,21.21,1197
60,Hyundai Venue SX,9.49,2019,25000,Petrol,Manual,18.27,998
61,Hyundai Verna 1.6,6.6,2015,120000,Diesel,Manual,23.9,1582
62,Maruti Swift VXi,4.35,2014,28000,Petrol,Manual,16.1,1197
63,Hyundai i20 Sportz,3.85,2013,55000,Diesel,Manual,21.9,1396
64,Maruti Wagon R,1.55,2009,98780,Petrol,Manual,18.9,998
65,Datsun GO Plus,3.5,2015,35000,Petrol,Manual,19.44,1198
66,Datsun GO Plus,4.8,2018,10000,Petrol,Manual,20.62,1198
67,Maruti Swift Dzire,3.4,2012,49948,Petrol,Manual,17.5,1298
68,Ford Ecosport 2015-2021,9.25,2018,55000,Diesel,Manual,23.0,1498
69,Hyundai Grand i10,4.0,2015,36000,Petrol,Manual,18.9,1197
70,Honda City i,7.25,2016,49625,Petrol,Manual,17.8,1497
71,Mahindra Scorpio VLX,5.5,2013,95000,Diesel,Manual,12.05,2179
72,Ford Aspire 1.5,5.85,2017,36000,Diesel,Manual,25.83,1498
73,Maruti Wagon R,4.11,2019,50000,Petrol,Manual,21.79,998
74,Maruti Swift Dzire,4.5,2015,26500,Petrol,Manual,20.85,1197
75,Hyundai Grand i10,7.1,2019,9000,Petrol,Manual,20.7,1197
76,Honda City V,7.7,2016,53000,Petrol,Manual,16.8,1497
77,Honda Amaze VX,7.2,2018,50000,Diesel,Manual,25.8,1498
78,Datsun GO Plus,4.0,2015,35000,Petrol,Manual,19.44,1198
79,Honda Jazz 1.2,6.0,2018,18000,Petrol,Manual,18.7,1199
80,Hyundai i20 Magna,5.0,2015,30000,Petrol,Manual,18.6,1197
81,Hyundai Verna 1.6,6.5,2015,55000,Diesel,Manual,23.9,1582
82,Maruti Swift AMT,6.6,2018,10000,Petrol,Automatic,21.21,1197
83,Hyundai Grand i10,4.75,2016,25000,Petrol,Manual,18.9,1197
84,Maruti Ciaz VXi,5.3,2015,70000,Petrol,Manual,20.73,1373
85,Tata Tiago 1.2,5.3,2016,9500,Petrol,Manual,23.84,1199
86,Hyundai Verna 1.6,6.5,2015,9100,Petrol,Manual,17.01,1591
87,Honda City 1.5,3.35,2010,86000,Petrol,Manual,17.0,1497
88,Maruti Wagon R,5.5,2019,7883,Petrol,Automatic,21.5,1197
89,Mahindra Bolero DI,2.6,2008,220000,Diesel,Manual,13.6,2523
90,Mahindra Scorpio SLE,5.5,2012,170000,Diesel,Manual,12.05,2179
91,Maruti Swift Dzire,6.5,2018,15000,Petrol,Manual,22.0,1197
92,Maruti Celerio ZXI,5.05,2020,8700,Petrol,Manual,21.63,998
93,Maruti Alto 800,3.1,2019,25000,Petrol,Manual,24.7,796
94,Hyundai i20 Asta,5.45,2015,42000,Petrol,Manual,18.6,1197
95,Mahindra Bolero DI,1.5,2006,120000,Diesel,Manual,13.6,2523
96,Maruti Baleno Delta,5.8,2018,50000,Petrol,Manual,21.4,1197
97,Maruti Wagon R,2.5,2011,58000,Petrol,Manual,18.9,998
98,Hyundai Verna 1.4,6.5,2017,36000,Petrol,Manual,17.43,1396
99,Ford Ecosport 2015-2021,5.31,2015,162828,Diesel,Manual,22.77,1498
100,Maruti Wagon R,4.35,2018,52000,CNG,Manual,33.54,998
101,Ford Figo Diesel,1.85,2012,74000,Diesel,Manual,20.0,1399
102,Mahindra Bolero 2011-2019,4.4,2011,47000,Diesel,Manual,15.96,2523
103,Hyundai i20 Sportz,4.5,2015,50000,Petrol,Manual,18.6,1197
104,Maruti Baleno Zeta,6.0,2017,100000,Petrol,Manual,21.4,1197
105,Maruti Celerio VXI,3.2,2014,35000,Petrol,Manual,23.1,998
106,Ford Aspire 1.2,6.3,2018,10000,Petrol,Manual,18.16,1196
107,Maruti Alto 800,3.2,2016,10370,Petrol,Manual,22.74,796
108,Honda City V,4.65,2013,62000,Petrol,Manual,16.8,1497
109,Maruti Swift VVT,4.45,2017,60000,Petrol,Manual,22.0,1197
110,Maruti Wagon R,2.7,2013,64000,CNG,Manual,33.54,998
111,Honda City 2017-2020,3.5,2011,55000,Petrol,Manual,16.9,1497
112,Hyundai i20 2015-2017,5.75,2016,11000,Petrol,Manual,18.6,1197
113,Renault KWID 1.0,3.6,2017,17000,Petrol,Manual,23.01,999
114,Maruti Alto 800,2.75,2017,25000,Petrol,Manual,24.7,796
115,Datsun GO Plus,3.2,2016,33350,Petrol,Manual,19.44,1198
116,Hyundai Grand i10,3.7,2015,62000,Petrol,Manual,18.9,1197
117,Maruti Swift Dzire,2.75,2009,59000,Petrol,Manual,17.5,1298
118,Honda City i,5.5,2014,86113,Petrol,Manual,17.4,1497
119,Maruti Wagon R,2.72,2015,92537,Petrol,Manual,20.51,998
120,Honda City V,5.45,2013,70000,Petrol,Manual,16.8,1497
121,Hyundai i20 2015-2017,4.8,2017,64000,Petrol,Manual,18.6,1197
122,Maruti Alto 800,2.35,2013,26200,Petrol,Manual,22.74,796
123,Maruti Baleno Zeta,5.9,2017,25000,Petrol,Manual,21.4,1197
124,Mahindra Scorpio M2DI,2.8,2007,110000,Diesel,Manual,13.5,2179
125,Honda City i-VTEC,7.5,2018,25000,Petrol,Manual,17.4,1497
126,Hyundai Grand i10,4.0,2015,36000,Petrol,Manual,18.9,1197
127,Mahindra Thar CRDe,8.7,2018,25000,Diesel,Manual,16.55,2498
128,Renault KWID RXL,2.95,2018,30038,Petrol,Manual,25.17,799
129,Maruti Swift VXI,5.3,2018,5000,Petrol,Manual,21.21,1197
130,Renault KWID Climber,3.5,2017,35000,Petrol,Automatic,24.04,999
131,Ford Ecosport 1.5,4.7,2013,62000,Diesel,Manual,22.7,1498
132,Ford Aspire 1.5,3.9,2015,42000,Diesel,Manual,25.83,1498
133,Mahindra Scorpio S10,9.2,2015,80000,Diesel,Manual,15.4,2179
134,Mahindra XUV500 W8,5.5,2013,60000,Diesel,Manual,15.1,2179
135,Hyundai Verna 1.6,6.35,2014,45000,Diesel,Manual,22.32,1582
136,Maruti Alto 800,3.0,2018,12000,Petrol,Manual,24.7,796
137,Honda City i-VTEC,9.6,2018,12000,Petrol,Automatic,18.0,1497
138,Volkswagen Polo Petrol,2.49,2011,63000,Petrol,Manual,16.47,1198
139,Ford Figo Diesel,2.5,2011,160800,Diesel,Manual,20.0,1399
140,Hyundai Verna 1.6,6.1,2014,120000,Diesel,Manual,22.32,1582
141,Ford Ecosport 2015-2021,5.45,2016,78247,Diesel,Manual,21.7,1498
142,Hyundai Verna 1.6,4.8,2013,113000,Diesel,Manual,22.32,1582
143,Hyundai i20 2015-2017,3.95,2014,52000,Petrol,Manual,18.6,1197
144,Hyundai Grand i10,4.7,2017,90000,Petrol,Manual,18.9,1197
145,Maruti Wagon R,3.4,2014,21717,Petrol,Manual,20.51,998
146,Maruti Swift VXI,4.91,2017,27876,Petrol,Manual,20.4,1197
147,Hyundai Venue SX,9.85,2019,5400,Petrol,Manual,18.27,998
148,Tata Tiago 1.2,3.35,2017,24800,Petrol,Manual,23.84,1199
149,Honda Jazz VX,7.4,2018,20000,Petrol,Automatic,17.1,1199
150,Maruti Swift VXI,3.75,2013,34553,Petrol,Manual,22.0,1197
151,Mahindra Scorpio 1.99,8.5,2017,120000,Diesel,Manual,15.4,1997
152,Hyundai i20 Era,2.85,2013,90000,Diesel,Manual,22.54,1396
153,Honda City i,5.3,2014,66100,Diesel,Manual,26.0,1498
154,Hyundai i20 1.2,6.5,2017,55000,Petrol,Manual,18.6,1197
155,Maruti Baleno Delta,6.86,2019,5000,Petrol,Automatic,21.4,1197
156,Maruti Alto 800,2.0,2016,50000,Petrol,Manual,22.74,796
157,Maruti Swift Dzire,2.5,2010,44000,Petrol,Manual,19.1,1197
158,Hyundai Verna 1.6,6.5,2016,55000,Petrol,Manual,17.01,1591
159,Maruti Baleno Zeta,6.2,2017,30000,Petrol,Manual,21.4,1197
160,Hyundai Verna 1.6,5.1,2013,50000,Petrol,Manual,17.01,1591
161,Maruti Eeco 5,3.75,2013,20000,Petrol,Manual,15.37,1196
162,Maruti Swift Dzire,6.2,2017,19843,Petrol,Automatic,21.21,1197
163,Ford Endeavour 3.0L,9.5,2011,30000,Diesel,Automatic,11.4,2953
164,Honda City i,8.45,2016,40000,Petrol,Automatic,18.0,1497
165,Honda Amaze S,3.95,2015,59000,Petrol,Manual,18.0,1198
166,Hyundai Grand i10,4.5,2018,40000,Petrol,Manual,18.9,1197
167,Hyundai Grand i10,3.25,2013,61000,Petrol,Manual,18.9,1197
168,Mahindra XUV500 W8,6.5,2013,63000,Diesel,Manual,15.1,2179
169,Ford Figo Diesel,1.69,2012,68000,Diesel,Manual,20.0,1399
170,Maruti Wagon R,4.0,2018,80000,Petrol,Automatic,20.51,998
171,Hyundai Santro Sportz,5.65,2020,1000,Petrol,Automatic,20.3,1086
172,Mahindra Scorpio 2009-2014,3.0,2010,67900,Diesel,Manual,12.05,2179
173,Renault KWID Climber,3.7,2018,25000,Petrol,Automatic,24.04,999
174,Maruti Wagon R,2.0,2006,70000,Petrol,Manual,18.9,998
175,Hyundai Verna 1.6,4.2,2012,61000,Diesel,Manual,22.32,1582
176,Maruti Swift LXI,5.0,2017,5743,Petrol,Manual,20.4,1197
177,Datsun GO Plus,5.0,2017,15000,Petrol,Manual,19.44,1198
178,Mahindra XUV500 W6,6.5,2015,100000,Diesel,Manual,15.1,2179
179,Maruti Wagon R,5.0,2020,10000,Petrol,Manual,20.52,1197
180,Maruti Wagon R,3.25,2014,30000,Petrol,Manual,20.51,998
181,Honda City i,4.35,2014,63000,Petrol,Manual,17.8,1497
182,Honda City i,7.55,2017,32226,Petrol,Manual,17.8,1497
183,Renault KWID AMT,3.1,2018,15000,Petrol,Automatic,24.04,999
184,Maruti Wagon R,5.0,2019,30000,Petrol,Manual,20.52,1197
185,Mahindra Scorpio VLX,5.3,2013,140000,Diesel,Manual,12.05,2179
186,Ford Ecosport 1.5,5.75,2014,65597,Diesel,Manual,22.7,1498
187,Hyundai i20 2015-2017,5.5,2017,35000,Petrol,Manual,18.6,1197
188,Maruti Baleno Delta,6.43,2020,7124,Petrol,Manual,21.01,1197
189,Hyundai Grand i10,5.5,2016,34000,Petrol,Manual,18.9,1197
190,Tata Tigor 1.2,4.7,2018,40000,Petrol,Manual,20.3,1199
191,Honda City i,5.25,2014,77000,Diesel,Manual,26.0,1498
192,Datsun GO Plus,4.69,2017,15000,Petrol,Manual,19.44,1198
193,Maruti Alto 800,2.0,2013,120000,Petrol,Manual,22.74,796
194,Renault KWID 1.0,4.0,2019,2500,Petrol,Manual,23.01,999
195,Maruti Celerio ZXI,3.4,2016,46500,Petrol,Manual,23.1,998
196,Mercedes-Benz C-Class C,7.75,2011,45000,Diesel,Automatic,14.94,2143
197,Honda City i,6.7,2015,28000,Petrol,Automatic,18.0,1497
198,Honda City 1.5,3.6,2011,55000,Petrol,Manual,17.0,1497
199,Ford Figo 1.5D,4.0,2017,53000,Diesel,Manual,25.83,1498
200,Hyundai Verna 1.6,4.7,2014,89000,Diesel,Manual,22.32,1582
201,Maruti Alto 800,3.04,2018,22000,Petrol,Manual,24.7,796
202,Honda City i,4.9,2014,69000,Diesel,Manual,26.0,1498
203,Mahindra Scorpio 1.99,8.64,2016,155000,Diesel,Manual,15.4,1997
204,Mahindra XUV500 W6,4.8,2013,85000,Diesel,Manual,16.0,2179
205,Maruti Wagon R,5.75,2019,3600,Petrol,Automatic,20.52,1197
206,Maruti Baleno Delta,6.86,2019,5000,Petrol,Automatic,21.4,1197
207,Maruti Baleno Zeta,6.8,2018,10000,Petrol,Automatic,21.4,1197
208,Ford Ecosport 2015-2021,9.55,2019,22346,Petrol,Manual,17.0,1497
209,Hyundai i20 1.4,3.5,2012,120000,Diesel,Manual,21.9,1396
210,Maruti Vitara Brezza,8.0,2020,1000,Petrol,Manual,17.03,1462
211,Mahindra XUV500 W6,8.25,2015,170000,Diesel,Manual,16.0,2179
212,Honda Jazz V,6.7,2018,40000,Petrol,Automatic,18.2,1199
213,Hyundai Grand i10,4.9,2017,35000,Petrol,Manual,18.9,1197
214,Ford Figo Diesel,1.9,2012,74000,Diesel,Manual,20.0,1399
215,Maruti Swift AMT,6.5,2019,8000,Petrol,Automatic,21.21,1197
216,Maruti Swift 1.2,4.55,2017,34000,Petrol,Manual,20.4,1197
217,Maruti Swift VXI,3.65,2014,54000,Petrol,Manual,22.0,1197
218,Maruti Swift Dzire,4.7,2014,11275,Petrol,Manual,19.1,1197
219,Honda Amaze S,3.25,2013,73000,Diesel,Manual,25.8,1498
220,Hyundai Grand i10,6.0,2020,10000,Petrol,Automatic,20.7,1197
221,Honda Amaze S,3.0,2013,208000,Diesel,Manual,25.8,1498
222,Hyundai i10 Sportz,3.0,2010,30000,Petrol,Manual,20.36,1197
223,Maruti Wagon R,3.45,2016,83000,CNG,Manual,26.6,998
224,Mahindra Scorpio S3,9.0,2018,60000,Diesel,Manual,15.4,2523
225,Maruti Swift LXI,4.0,2015,34000,Petrol,Manual,20.4,1197
226,Honda Amaze S,3.67,2014,45120,Diesel,Manual,25.8,1498
227,Hyundai Grand i10,5.35,2019,15000,Petrol,Automatic,18.9,1197
228,Maruti Ertiga VXI,8.05,2019,15000,Petrol,Manual,19.34,1462
229,Mercedes-Benz E-Class E250,7.0,2011,98000,Diesel,Automatic,14.21,2143
230,Honda City i,7.0,2016,55670,Petrol,Manual,17.8,1497
231,Hyundai Verna CRDi,1.55,2006,148000,Diesel,Manual,16.8,1493
232,Maruti Ertiga VXI,8.0,2019,18000,Petrol,Manual,19.01,1462
233,BMW 3 Series,7.5,2011,52420,Diesel,Automatic,22.69,1995
234,Hyundai Grand i10,3.5,2015,10000,Petrol,Manual,18.9,1197
235,Maruti Ertiga BSIV,7.0,2018,50000,Petrol,Manual,17.5,1373
236,Maruti Swift Dzire,2.3,2009,76963,Petrol,Manual,17.5,1298
237,Maruti Alto 800,3.5,2016,45000,CNG,Manual,30.46,796
238,Renault KWID RXL,3.25,2018,10103,Petrol,Manual,25.17,799
239,Mahindra XUV500 W8,8.0,2014,47240,Diesel,Manual,15.1,2179
240,Maruti Celerio LXI,4.0,2019,30000,Petrol,Manual,23.1,998
241,Hyundai i20 Sportz,5.35,2015,35213,Diesel,Manual,22.54,1396
242,Hyundai Grand i10,3.56,2015,35000,Petrol,Manual,18.9,1197
243,Maruti Eeco CNG,3.6,2018,34500,CNG,Manual,21.94,1196
244,Hyundai Grand i10,3.9,2016,30000,Petrol,Manual,18.9,1197
245,Maruti Wagon R,1.8,2011,83000,Petrol,Manual,18.9,998
246,Skoda Rapid 1.6,4.25,2014,70000,Petrol,Manual,15.0,1598
247,Ford Freestyle Trend,6.5,2019,50000,Petrol,Manual,19.0,1194
248,Honda City 1.5,2.75,2009,51000,Petrol,Manual,17.0,1497
249,Skoda Superb 1.8,2.35,2010,100000,Petrol,Manual,13.14,1798
250,Mercedes-Benz C-Class 220,7.0,2011,160000,Diesel,Automatic,14.84,2143
251,Maruti Swift VXI,3.5,2013,70000,Petrol,Manual,18.6,1197
252,Hyundai i20 2015-2017,4.8,2016,50000,Petrol,Manual,18.6,1197
253,Maruti Swift Dzire,6.9,2017,30000,Petrol,Automatic,21.21,1197
254,Maruti Wagon R,1.1,2005,33650,Petrol,Manual,18.9,998
255,Hyundai i20 Magna,4.7,2015,35000,Petrol,Manual,18.6,1197
256,Maruti Swift LXI,3.7,2015,30000,Petrol,Manual,20.4,1197
257,Maruti Celerio ZXI,4.5,2018,100000,Petrol,Automatic,23.1,998
258,Maruti Wagon R,2.75,2016,58000,CNG,Manual,26.2,998
259,Maruti Swift Dzire,7.31,2019,4000,Petrol,Automatic,21.21,1197
260,Maruti Wagon R,3.8,2016,60000,Petrol,Manual,20.51,998
261,Tata Nexon 1.5,9.0,2018,60000,Diesel,Manual,21.5,1497
262,Honda Amaze S,5.0,2016,34000,Petrol,Manual,18.0,1198
263,Datsun GO A,3.3,2017,42000,Petrol,Manual,20.63,1198
264,Hyundai Verna 1.6,5.4,2013,80000,Diesel,Manual,22.32,1582
265,Mahindra Bolero SLX,3.75,2008,120000,Diesel,Manual,13.6,2523
266,Ford Ecosport 2015-2021,7.25,2016,35200,Petrol,Automatic,14.7,1496
267,Hyundai i20 Petrol,7.65,2020,3700,Petrol,Manual,18.6,1197
268,Maruti Wagon R,3.8,2016,25000,Petrol,Manual,20.51,998
269,Maruti Swift Dzire,6.0,2019,15000,Petrol,Manual,21.21,1197
270,Honda Amaze S,3.5,2015,70000,Diesel,Manual,25.8,1498
271,Mahindra Thar CRDe,8.5,2017,55000,Diesel,Manual,16.55,2498
272,Maruti Alto 800,2.6,2016,42000,CNG,Manual,33.44,796
273,Ford Ecosport 1.5,4.75,2013,80000,Diesel,Manual,22.7,1498
274,Tata Nexon 1.2,7.5,2019,6000,Petrol,Manual,17.0,1198
275,Honda Jazz 1.2,5.25,2017,30000,Petrol,Manual,18.7,1199
276,Hyundai i20 Magna,5.35,2014,10000,Petrol,Manual,18.6,1197
277,Maruti Dzire VXI,4.85,2016,62150,Petrol,Manual,23.26,1197
278,Mahindra XUV500 W8,7.45,2015,47300,Diesel,Manual,15.1,2179
279,Ford Aspire 1.5,4.75,2015,63000,Diesel,Manual,25.83,1498
280,Hyundai i20 Asta,4.0,2013,70000,Petrol,Manual,18.5,1197
281,Hyundai Grand i10,6.5,2020,20000,Petrol,Manual,20.7,1197
282,Maruti Wagon R,1.5,2008,100000,Petrol,Manual,18.9,1061
283,Honda Amaze S,5.5,2018,50000,Petrol,Manual,17.8,1198
284,Hyundai i20 Sportz,5.0,2015,67000,Diesel,Manual,22.54,1396
285,Honda Amaze S,7.75,2019,21100,Petrol,Automatic,18.1,1199
286,Hyundai Grand i10,3.1,2015,50000,Petrol,Manual,18.9,1197
287,Hyundai Venue SX,9.95,2019,27594,Petrol,Manual,18.27,998
288,Honda WR-V i-VTEC,9.06,2019,25000,Petrol,Manual,17.5,1199
289,Ford Ecosport 2015-2021,7.85,2017,35000,Diesel,Manual,23.0,1498
290,Mahindra Bolero 2011-2019,4.7,2013,80000,Diesel,Manual,15.96,2523
291,Honda City 1.5,4.0,2011,119000,Petrol,Manual,17.0,1497
292,Maruti Baleno Sigma,5.35,2019,11000,Petrol,Manual,21.4,1197
293,Renault KWID RXL,2.35,2016,41000,Petrol,Manual,25.17,799
294,Maruti Wagon R,3.0,2015,120000,Petrol,Manual,20.51,998
295,Maruti Swift VXI,6.15,2020,10000,Petrol,Manual,21.21,1197
296,Renault KWID RXT,2.5,2016,50000,Petrol,Manual,25.17,799
297,Mahindra XUV500 W8,9.25,2015,42000,Diesel,Manual,16.0,2179
298,Renault KWID 1.0,3.5,2018,10000,Petrol,Manual,23.01,999
299,Maruti Wagon R,3.6,2017,70000,Petrol,Manual,20.51,998
300,Honda City i,7.0,2015,70000,Diesel,Manual,25.1,1498
301,Volkswagen Polo IPL,2.85,2011,64471,Petrol,Manual,15.26,1598
302,Honda Amaze E,5.27,2017,33869,Petrol,Manual,17.8,1198
303,Mahindra Bolero 2011-2019,3.96,2012,63497,Diesel,Manual,15.96,2523
304,Maruti Swift Dzire,3.84,2014,70000,Petrol,Manual,19.1,1197
305,Datsun RediGO D,2.1,2018,20000,Petrol,Manual,22.7,799
306,Hyundai Verna 1.6,4.25,2012,57000,Petrol,Manual,17.01,1591
307,Mahindra Bolero SLE,4.25,2011,30000,Diesel,Manual,13.6,2523
308,Maruti Alto 800,2.2,2016,50000,Petrol,Manual,24.7,796
309,Tata Safari 2005-2017,2.18,2011,190000,Diesel,Manual,11.57,2179
310,Mahindra Bolero 2011-2019,7.5,2018,60000,Diesel,Manual,15.96,2523
311,Maruti Ciaz AT,7.15,2017,60000,Petrol,Automatic,19.12,1373
312,Maruti Alto 800,3.5,2020,5000,Petrol,Manual,22.05,796
313,Renault KWID RXT,3.0,2019,25000,Petrol,Manual,25.17,799
314,Hyundai Verna 1.6,4.8,2013,76300,Diesel,Manual,22.32,1582
315,Renault KWID Climber,4.0,2019,10000,Petrol,Automatic,24.04,999
316,Hyundai Grand i10,4.95,2019,36000,Petrol,Manual,18.9,1197
317,Mahindra KUV 100,4.2,2016,26000,Petrol,Manual,18.15,1198
318,Ford Ecosport 2015-2021,8.0,2019,4000,Petrol,Manual,17.0,1497
319,Mahindra Bolero DI,3.4,2011,46000,Diesel,Manual,13.6,2523
320,Honda City 2017-2020,3.4,2009,75000,Petrol,Manual,16.9,1497
321,Maruti Wagon R,1.35,2009,113000,Petrol,Manual,21.79,998
322,Honda Amaze EX,4.39,2015,16942,Petrol,Manual,18.0,1198
323,Honda Jazz 1.2,4.65,2016,29484,Petrol,Manual,18.7,1199
324,Maruti Swift Dzire,6.5,2017,30000,Petrol,Manual,21.21,1197
325,Maruti Swift VVT,5.25,2017,14838,Petrol,Manual,22.0,1197
326,Honda City i,8.85,2018,31318,Petrol,Manual,17.8,1497
327,Maruti Wagon R,1.2,2007,63000,Petrol,Manual,21.79,998
328,Tata Safari 2005-2017,1.75,2009,80000,Diesel,Manual,13.93,2179
329,Maruti Swift Dzire,4.0,2015,66000,Petrol,Manual,20.85,1197
330,Honda City V,8.75,2018,31543,Petrol,Manual,16.8,1497
331,Honda City i,7.0,2015,50000,Diesel,Manual,25.1,1498
332,Maruti Celerio X,4.6,2018,18000,Petrol,Manual,21.63,998
333,Mahindra Scorpio 1.99,9.5,2016,50000,Diesel,Manual,15.4,1997
334,Mahindra Bolero 2011-2019,4.6,2012,120000,Diesel,Manual,15.96,2523
335,Maruti Eeco 5,2.2,2012,20000,CNG,Manual,15.1,1196
336,Mahindra Thar CRDe,9.0,2018,50000,Diesel,Manual,16.55,2498
337,Volkswagen Vento 1.2,5.75,2015,53837,Petrol,Automatic,16.93,1197
338,Maruti Swift ZXI,4.75,2013,32000,Petrol,Manual,18.6,1197
339,Renault Triber RXZ,6.6,2020,1784,Petrol,Manual,20.0,999
340,BMW 3 Series,5.75,2011,98955,Diesel,Automatic,13.2,1995
341,Datsun GO Plus,4.6,2016,58000,Petrol,Manual,19.44,1198
342,Volkswagen Polo Petrol,2.0,2010,60000,Petrol,Manual,16.47,1198
343,Mahindra Scorpio 1.99,8.8,2017,100000,Diesel,Manual,15.4,1997
344,Mahindra Scorpio S2,8.0,2017,20000,Diesel,Manual,15.4,2523
345,Maruti Eeco CNG,4.8,2018,22000,CNG,Manual,21.94,1196
346,Honda Amaze VX,4.0,2015,41604,Petrol,Manual,18.0,1198
347,Ford Ecosport 2015-2021,8.8,2017,39884,Diesel,Manual,23.0,1498
348,Datsun RediGO 1.0,2.95,2017,40000,Petrol,Manual,22.5,999
349,Mahindra Thar CRDe,8.0,2015,27000,Diesel,Manual,16.55,2498
350,Hyundai i10 Era,1.5,2009,67000,Petrol,Manual,19.81,1086
351,Honda Amaze S,5.5,2018,25000,Petrol,Automatic,18.1,1199
352,Honda Amaze S,3.25,2013,75000,Diesel,Manual,25.8,1498
353,Mahindra Scorpio VLX,5.55,2014,80000,Diesel,Manual,12.05,2179
