,full_name,selling_price,year,km_driven,fuel_type,transmission_type,mileage,engine
7401,Maruti Baleno Delta,5.67,2017,18263,Petrol,Manual,21.4,1197
7402,Mahindra XUV500 W6,9.45,2015,64000,Diesel,Manual,16.0,1997
7403,Honda Amaze V,7.25,2018,10000,Petrol,Automatic,19.0,1199
7404,Hyundai Grand i10,5.25,2019,15000,Petrol,Manual,18.9,1197
7405,Hyundai Verna 1.6,5.65,2012,50000,Diesel,Manual,22.32,1582
7406,Maruti Swift VXI,5.0,2016,120000,Petrol,Manual,20.4,1197
7407,Honda Amaze E,2.65,2014,110000,Diesel,Manual,25.8,1498
7408,Maruti Wagon R,3.15,2013,76221,CNG,Manual,26.2,998
7409,Mahindra Bolero 2011-2019,5.75,2014,30000,Diesel,Manual,15.96,2523
7410,Mahindra Scorpio SLE,4.8,2011,120000,Diesel,Manual,12.05,2179
7411,Ford Ecosport 1.0,6.35,2015,40000,Petrol,Manual,18.88,999
7412,Maruti Swift VXI,1.65,2007,75000,Petrol,Manual,16.1,1298
7413,Honda Amaze E,3.89,2015,59962,Petrol,Manual,18.0,1198
7414,Honda Jazz 1.2,5.7,2015,64000,Petrol,Manual,18.7,1199
7415,Volkswagen Polo 2015-2019,6.15,2016,80000,Petrol,Automatic,17.21,1197
7416,Maruti Swift Dzire,6.1,2019,15000,Petrol,Manual,21.21,1197
7417,Honda Jazz S,3.35,2009,87000,Petrol,Manual,16.0,1198
7418,Honda City 1.5,3.15,2010,68000,Petrol,Manual,17.0,1497
7419,Honda Jazz 1.2,6.5,2018,30000,Petrol,Manual,18.7,1199
7420,Maruti Alto 800,2.5,2018,15000,Petrol,Manual,24.7,796
7421,Ford Figo Petrol,3.64,2011,56000,Petrol,Manual,15.6,1196
7422,Maruti Baleno Delta,5.5,2017,25000,Petrol,Manual,21.4,1197
